,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-30,15.51,22.72,22.72,15.51,994,1920190.0,66.95,110.96,11.95,0.4
1,2015-05-29,24.99,89.65,116.35,24.99,1019664,5106796282.0,402.11,294.59,66.93,407.87
2,2015-06-30,85.0,42.79,85.67,35.88,974390,6206155599.0,55.54,-52.27,-46.86,389.76
3,2015-07-31,40.9,43.98,49.88,29.48,1052982,4397517596.0,47.67,2.78,1.19,421.19
4,2015-08-31,44.4,30.74,52.5,28.5,806560,3637145638.0,54.57,-30.1,-13.24,322.62
5,2015-09-30,30.05,29.68,35.07,25.05,421244,1262380523.0,32.6,-3.45,-1.06,168.5
6,2015-10-30,30.92,37.51,41.5,30.5,536813,1905225583.0,37.06,26.38,7.83,214.73
7,2015-11-30,36.51,50.19,55.9,36.22,832306,3968317434.0,52.47,33.8,12.68,332.92
8,2015-12-31,49.68,46.99,56.98,46.0,581052,2938305656.0,21.88,-6.38,-3.2,232.42
9,2016-01-29,47.0,31.18,47.0,29.06,219033,776390675.0,38.18,-33.65,-15.81,87.61
10,2016-02-29,31.21,39.07,46.19,31.0,244750,944675451.0,48.72,25.3,7.89,97.9
11,2016-03-31,39.94,40.62,41.79,32.6,431024,1621537806.0,23.52,3.97,1.55,172.41
12,2016-04-29,40.3,38.28,43.98,37.3,309998,1267754237.0,16.45,-5.76,-2.34,108.52
13,2016-05-31,38.29,38.55,41.5,35.01,162919,618899439.0,16.95,0.71,0.27,57.03
14,2016-06-30,39.2,20.04,42.8,18.41,600453,1347616694.0,63.27,-48.02,-18.51,77.12
15,2016-07-29,20.06,19.49,21.64,19.0,524075,1081853205.0,13.17,-2.74,-0.55,67.31
16,2016-08-31,19.49,20.77,21.2,18.9,256241,518343778.0,11.8,6.57,1.28,32.91
17,2016-09-30,20.72,21.0,21.2,19.81,312020,638948812.0,6.69,1.11,0.23,40.07
18,2016-10-31,21.09,21.18,24.41,20.86,512845,1117824848.0,16.9,0.86,0.18,65.87
19,2016-11-30,21.2,23.78,25.39,21.18,900381,2125940531.0,19.88,12.28,2.6,115.64
20,2016-12-30,23.75,26.08,27.47,23.58,705636,1836625274.0,16.36,9.67,2.3,90.63
21,2017-01-26,26.2,28.63,28.9,25.5,391399,1069901587.0,13.04,9.78,2.55,50.27
22,2017-02-28,28.6,27.26,29.32,26.21,250722,698953631.0,10.86,-4.79,-1.37,32.2
23,2017-03-31,27.44,23.46,35.5,23.19,2126389,6259187611.0,45.16,-13.94,-3.8,273.1
24,2017-04-28,23.48,18.77,24.15,18.03,716041,1528753411.0,26.09,-19.99,-4.69,91.96
25,2017-05-31,18.8,15.65,19.34,15.02,498407,871204803.0,23.02,-16.62,-3.12,64.01
26,2017-06-30,15.72,16.62,17.92,14.5,642974,1064414585.0,21.85,6.2,0.97,82.58
27,2017-07-31,16.58,16.16,17.83,15.41,375416,628560607.0,14.56,-2.77,-0.46,48.22
28,2017-08-31,16.15,16.47,17.7,15.61,348866,580360350.0,12.93,1.92,0.31,44.81
29,2017-09-29,16.45,17.4,19.33,16.41,738401,1344079268.0,17.73,5.65,0.93,94.83
