,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2004-06-30,14.39,15.68,16.59,14.08,298981,452035517.42,36.43,127.58,8.79,119.59
1,2004-07-30,15.28,14.15,17.15,13.35,820041,1291505407.08,24.23,-9.76,-1.53,328.02
2,2004-08-31,13.98,10.85,14.64,10.1,254332,318426414.55,32.08,-23.32,-3.3,101.73
3,2004-09-30,10.78,12.02,13.44,9.69,351768,420314840.2,34.56,10.78,1.17,140.71
4,2004-10-29,12.07,11.65,13.35,9.91,200451,233337849.11,28.62,-3.08,-0.37,80.18
5,2004-11-30,11.72,11.25,12.6,11.16,158229,187539705.09,12.36,-3.43,-0.4,63.29
6,2004-12-31,11.23,9.99,11.58,9.82,75850,82540388.87,15.64,-11.2,-1.26,30.34
7,2005-01-31,9.98,8.55,10.48,8.5,56373,53977796.05,19.82,-14.41,-1.44,22.55
8,2005-02-28,8.5,10.16,10.26,8.5,90351,86730411.98,20.58,18.83,1.61,36.14
9,2005-03-31,10.18,8.16,10.27,8.01,165715,156268360.91,22.24,-19.69,-2.0,66.29
10,2005-04-29,8.13,6.95,8.64,6.65,157663,124728676.11,24.39,-14.83,-1.21,63.07
11,2005-05-31,6.5,6.63,6.82,6.26,51378,33753311.23,8.06,-4.6,-0.32,20.55
12,2005-06-30,6.64,7.62,8.67,6.28,285635,217797510.82,36.05,14.93,0.99,114.25
13,2005-07-29,7.56,7.42,7.66,6.9,112822,82537408.44,9.97,-2.62,-0.2,45.13
14,2005-08-31,7.41,10.34,11.14,7.4,546867,527451103.66,50.4,39.35,2.92,218.75
15,2005-09-30,10.3,10.04,10.85,9.52,145951,150809147.29,12.86,-2.9,-0.3,58.38
16,2005-10-12,10.04,9.95,10.22,9.71,24439,24467691.93,5.08,-0.9,-0.09,9.78
17,2005-11-30,6.78,8.84,8.97,6.66,451742,360039505.66,23.22,-11.16,-1.11,135.86
18,2005-12-30,8.8,8.26,8.85,8.11,254349,214995473.26,8.37,-6.56,-0.58,76.5
19,2006-01-25,8.25,8.87,9.44,8.12,297457,263020425.15,15.98,7.38,0.61,89.46
20,2006-02-28,8.66,8.42,9.19,8.02,149962,130256898.59,13.19,-5.07,-0.45,45.1
21,2006-03-31,8.42,8.48,8.9,8.05,187113,159309344.25,10.1,0.71,0.06,56.27
22,2006-04-28,8.55,8.85,9.78,8.38,384026,345227704.96,16.51,4.36,0.37,115.5
23,2006-05-31,8.75,11.07,11.07,8.75,455145,447762988.58,26.21,25.08,2.22,136.89
24,2006-06-30,12.17,9.54,14.12,8.38,593561,693797658.91,51.85,-13.82,-1.53,111.57
25,2006-07-31,9.68,10.21,13.46,8.94,648680,739619665.3,47.38,7.02,0.67,121.93
26,2006-08-31,10.21,11.51,11.66,9.6,255416,271130083.63,20.18,12.73,1.3,48.01
27,2006-09-29,11.5,11.15,11.97,10.7,176918,200466919.38,11.03,-3.13,-0.36,33.26
28,2006-10-31,11.43,10.16,12.0,9.9,154489,169774277.86,18.83,-8.88,-0.99,29.04
29,2006-11-30,10.16,10.09,10.47,8.66,259818,250294226.61,17.81,-0.69,-0.07,40.79
30,2006-12-29,10.1,10.44,11.95,9.2,389105,408125586.28,27.25,3.47,0.35,61.08
31,2007-01-31,10.45,12.9,14.6,10.38,464182,600680427.85,40.42,23.56,2.46,72.87
32,2007-02-28,12.95,14.98,16.58,12.52,222202,315522666.7,31.47,16.12,2.08,34.88
33,2007-03-30,14.7,15.6,17.2,13.98,200991,315656483.34,21.5,4.14,0.62,31.55
34,2007-04-30,15.93,18.39,19.9,15.53,288361,503021951.08,28.01,17.88,2.79,45.27
35,2007-05-30,18.44,20.59,23.8,18.44,318566,666761672.01,29.15,11.96,2.2,50.01
36,2007-06-29,20.52,18.87,23.6,16.43,451996,909328054.16,34.82,-8.35,-1.72,59.13
37,2007-07-31,18.86,20.44,20.78,15.08,238728,432227733.66,30.21,8.32,1.57,31.23
38,2007-08-31,20.78,25.59,26.96,18.16,466143,1031315135.23,43.05,25.2,5.15,60.98
39,2007-09-28,25.59,38.5,39.39,25.13,424657,1321787366.7,55.72,50.45,12.91,55.56
40,2007-10-31,38.9,41.21,42.3,32.23,152104,561971543.12,26.16,7.04,2.71,19.9
41,2007-11-30,41.3,36.0,42.68,33.2,129311,482399175.39,23.0,-12.64,-5.21,16.92
42,2007-12-28,35.95,44.0,46.9,35.4,192893,825870720.2,31.94,22.22,8.0,25.24
43,2008-01-31,44.01,39.19,48.9,38.19,156907,692108155.48,24.34,-10.93,-4.81,20.53
44,2008-02-29,38.1,42.5,46.59,35.27,195761,836014007.74,28.88,8.45,3.31,25.61
45,2008-03-31,41.99,15.86,44.45,15.6,267832,798571527.14,67.88,-62.68,-26.64,17.52
46,2008-04-30,15.86,17.46,17.85,12.5,831644,1266729631.95,33.73,10.09,1.6,54.4
47,2008-05-30,17.66,16.39,19.17,14.6,1202338,2088866495.77,26.17,-6.13,-1.07,78.65
48,2008-06-30,16.3,10.38,16.85,9.51,686099,875349098.14,44.78,-36.67,-6.01,44.88
49,2008-07-31,10.48,11.88,13.52,10.16,778102,961968938.68,32.37,14.45,1.5,50.9
50,2008-08-29,11.6,7.68,12.3,7.28,344871,324804020.63,42.26,-35.35,-4.2,22.56
51,2008-09-26,7.65,7.01,7.89,6.21,519553,372658512.84,21.88,-8.72,-0.67,33.98
52,2008-10-31,6.95,4.38,6.95,4.31,561600,293149581.29,37.66,-37.52,-2.63,36.73
53,2008-11-28,4.28,5.29,6.4,4.2,1707351,922777244.25,50.23,20.78,0.91,111.68
54,2008-12-31,5.26,7.46,7.77,5.13,2955788,1969214284.97,49.91,41.02,2.17,193.34
55,2009-01-23,7.59,8.79,9.28,7.47,2219214,1884902929.71,24.26,17.83,1.33,145.16
56,2009-02-27,8.81,9.29,11.4,8.65,2949505,2960610245.48,31.29,5.69,0.5,192.93
57,2009-03-31,8.9,10.9,11.19,8.65,2139859,2121497617.0,27.34,17.33,1.61,139.97
58,2009-04-30,10.94,9.34,11.9,8.86,2760866,2936508840.44,27.89,-14.31,-1.56,180.59
59,2009-05-27,9.34,10.59,11.35,9.3,2469843,2603472201.33,21.95,13.38,1.25,161.56
60,2009-06-30,10.71,9.85,11.15,9.7,1288439,1321097302.77,13.69,-6.99,-0.74,84.28
61,2009-07-31,9.81,10.03,10.97,9.35,2095479,2125775376.84,16.45,1.83,0.18,137.07
62,2009-08-31,10.14,7.75,11.3,7.6,1996373,1962537872.84,36.89,-22.73,-2.28,130.58
63,2009-09-30,7.75,7.64,9.25,7.46,1367570,1162547136.86,23.1,-1.42,-0.11,89.45
64,2009-10-30,7.75,8.15,8.8,7.74,745394,621206944.91,13.87,6.68,0.51,48.76
65,2009-11-30,8.08,10.81,11.94,7.95,3030135,3199550758.28,48.96,32.64,2.66,198.2
66,2009-12-31,10.73,12.56,12.68,10.31,1759620,1985654844.2,21.92,16.19,1.75,115.1
67,2010-01-29,12.5,12.31,14.14,11.96,1296134,1696833888.53,17.36,-1.99,-0.25,84.78
68,2010-02-26,12.2,13.72,13.77,11.52,571990,727000621.69,18.28,11.45,1.41,37.41
69,2010-03-31,13.72,14.85,15.2,12.61,1455296,2025899857.43,18.88,8.24,1.13,95.19
70,2010-04-30,14.85,13.8,16.56,13.41,1309523,1985637035.74,21.21,-7.07,-1.05,85.66
71,2010-05-31,13.6,13.0,14.46,11.6,821208,1082500849.84,20.72,-5.8,-0.8,53.72
72,2010-06-30,12.95,10.62,13.65,10.53,449994,573410019.39,24.0,-18.31,-2.38,29.43
73,2010-07-30,10.55,12.06,12.3,10.1,487364,557044708.22,20.72,13.56,1.44,31.88
74,2010-08-31,12.0,13.86,14.05,11.7,848206,1089445944.71,19.49,14.93,1.8,55.48
75,2010-09-30,14.1,13.02,14.78,12.62,831106,1145741200.74,15.58,-6.06,-0.84,54.36
76,2010-10-29,13.08,14.51,14.77,12.9,1231906,1697870152.63,14.36,11.44,1.49,80.58
77,2010-11-30,14.46,15.63,17.4,14.4,1915458,3057475049.42,20.68,7.72,1.12,125.29
78,2010-12-31,15.52,13.97,16.28,13.36,757451,1156739033.65,18.68,-10.62,-1.66,34.27
79,2011-01-31,14.03,15.06,15.5,13.57,650784,965852567.8,13.82,7.8,1.09,29.45
80,2011-02-28,15.1,17.38,17.92,15.02,786571,1296968410.33,19.26,15.41,2.32,35.59
81,2011-03-31,17.59,17.08,18.97,16.51,1156179,2050138179.67,14.15,-1.73,-0.3,52.31
82,2011-04-29,17.0,16.28,17.62,15.5,432892,726825585.44,12.41,-4.68,-0.8,19.59
83,2011-05-31,16.21,14.99,16.49,14.26,308089,477819335.47,13.7,-7.92,-1.29,13.94
84,2011-06-30,15.0,15.85,15.89,14.18,372705,569366664.47,11.41,5.74,0.86,16.86
85,2011-07-29,15.8,16.37,16.77,14.9,882686,1412507299.54,11.8,3.28,0.52,39.94
86,2011-08-31,16.01,15.37,16.66,13.58,871976,1372740359.57,18.81,-6.11,-1.0,39.45
87,2011-09-30,15.29,13.8,15.5,13.0,375657,542000237.0,16.27,-10.21,-1.57,17.0
88,2011-10-31,13.9,12.46,14.07,11.9,362820,461416830.0,15.72,-9.71,-1.34,16.42
89,2011-11-30,12.3,10.54,13.08,10.36,931625,1149889861.0,21.83,-15.41,-1.92,42.15
90,2011-12-30,10.9,7.45,11.37,6.91,658060,580474468.0,42.31,-29.32,-3.09,29.78
91,2012-01-31,7.49,7.37,7.8,6.52,749362,550652765.0,17.18,-1.07,-0.08,33.91
92,2012-02-29,7.28,8.74,9.3,7.15,1735627,1454569904.0,29.17,18.59,1.37,78.53
93,2012-03-30,8.71,7.87,10.15,7.7,1294844,1191406708.0,28.03,-9.95,-0.87,58.59
94,2012-04-27,7.87,8.82,9.7,7.37,1130383,982233788.0,29.61,12.07,0.95,51.15
95,2012-05-31,8.96,8.6,9.47,7.73,847406,732494153.0,19.73,-2.49,-0.22,38.34
96,2012-06-29,8.56,7.55,8.82,7.49,735412,607001479.0,15.47,-12.21,-1.05,33.27
97,2012-07-31,7.52,7.37,8.4,7.35,365524,286448697.0,13.91,-2.38,-0.18,16.54
98,2012-08-31,7.38,7.83,8.09,7.33,392022,303743598.0,10.31,6.24,0.46,17.74
99,2012-09-28,8.15,8.89,9.4,7.73,1786145,1540905178.0,21.33,13.54,1.06,80.82
100,2012-10-31,8.77,7.76,9.5,7.7,1273072,1111091862.0,20.25,-12.71,-1.13,57.6
101,2012-11-30,7.77,6.64,8.05,6.58,383689,288646041.0,18.94,-14.43,-1.12,17.36
102,2012-12-31,6.58,7.7,8.05,5.92,789007,550932373.0,32.08,15.96,1.06,35.7
103,2013-01-31,7.68,7.54,7.97,7.27,731982,556985295.0,9.09,-2.08,-0.16,33.12
104,2013-02-28,7.51,8.98,9.34,7.5,1544216,1310326071.0,24.4,19.1,1.44,69.87
105,2013-03-29,8.85,8.37,9.42,8.06,1573208,1372497763.0,15.14,-6.79,-0.61,71.18
106,2013-04-26,8.35,8.05,8.35,7.39,670410,534514862.0,11.47,-3.82,-0.32,30.33
107,2013-05-31,8.02,10.16,11.15,7.8,2029073,1898941240.0,41.61,26.21,2.11,119.42
108,2013-06-28,9.95,9.03,9.98,7.61,1020391,931424550.0,23.33,-11.12,-1.13,60.05
109,2013-07-31,9.03,10.49,11.08,8.5,2253820,2266252989.0,28.57,16.17,1.46,132.65
110,2013-08-30,10.49,11.0,11.73,10.15,1703969,1877799964.0,15.06,4.86,0.51,100.29
111,2013-09-30,10.9,11.93,12.86,10.61,1270114,1541503447.0,20.45,8.45,0.93,74.75
112,2013-10-31,11.99,12.74,14.21,11.88,1142132,1491106381.0,19.53,6.79,0.81,67.22
113,2013-11-29,12.6,12.81,12.94,11.41,653219,804369442.0,12.01,0.55,0.07,38.44
114,2013-12-31,12.45,12.55,12.88,11.12,708181,850186510.0,13.74,-2.03,-0.26,41.68
115,2014-01-30,12.39,13.33,13.76,11.13,1270980,1629264579.0,20.96,6.22,0.78,74.8
116,2014-02-28,13.25,12.26,14.46,11.63,1124554,1525964505.0,21.23,-8.03,-1.07,66.18
117,2014-03-21,12.26,11.83,12.48,11.37,423097,506574322.0,9.05,-3.51,-0.43,24.9
118,2014-06-30,12.5,10.84,12.5,10.13,687528,760393523.0,20.03,-8.37,-0.99,26.45
119,2014-07-31,10.84,13.34,13.68,10.77,1951993,2422433094.0,26.85,23.06,2.5,75.1
120,2014-08-29,13.28,14.45,15.06,13.02,1193107,1699164759.0,15.29,8.32,1.11,45.9
121,2014-09-30,14.46,16.81,17.55,14.38,1250995,1974344902.0,21.94,16.33,2.36,48.13
122,2014-10-17,16.82,16.3,17.8,15.6,344914,585658529.0,13.09,-3.03,-0.51,13.27
123,2015-01-30,17.93,20.0,20.39,17.09,982750,1804814624.0,20.25,22.7,3.7,37.81
124,2015-02-27,19.31,19.11,20.55,18.14,1202610,2327357761.0,12.05,-4.45,-0.89,46.27
125,2015-03-31,19.3,28.98,33.7,19.26,2337027,6035513002.0,75.56,51.65,9.87,89.92
126,2015-04-30,28.84,27.86,32.1,25.95,3654157,10476495765.0,21.22,-3.86,-1.12,140.59
127,2015-05-29,27.91,33.95,39.88,26.39,4445152,14555888320.0,48.42,21.86,6.09,171.03
128,2015-06-30,33.5,24.77,40.23,20.62,3407750,11381297301.0,57.76,-27.04,-9.18,131.11
129,2015-07-31,24.19,20.49,25.94,14.87,3172144,6738319002.0,44.69,-17.28,-4.28,122.05
130,2015-08-31,19.85,14.4,23.13,13.33,2782708,5431556004.0,47.83,-29.72,-6.09,107.06
131,2015-09-30,14.4,14.65,16.1,12.25,2807071,4089949410.0,26.74,1.74,0.25,108.0
132,2015-10-30,15.58,18.32,20.3,15.27,1835137,3300695886.0,34.33,25.05,3.67,70.61
133,2015-11-30,17.7,18.06,21.25,17.0,3677742,7131489343.0,23.2,-1.42,-0.26,141.5
134,2015-12-31,18.1,20.75,21.39,17.08,2211531,4239761747.0,23.86,14.89,2.69,84.28
135,2016-01-29,20.8,13.9,23.5,12.93,3850502,7416492537.0,50.94,-33.01,-6.85,146.73
136,2016-02-29,13.8,13.45,16.9,13.22,1162230,1799646566.0,26.47,-3.24,-0.45,44.29
137,2016-03-31,13.25,15.36,15.97,13.09,1593804,2336443375.0,21.41,14.2,1.91,60.74
138,2016-04-29,15.25,14.46,16.69,14.11,1650560,2565913659.0,16.8,-5.86,-0.9,62.9
139,2016-05-31,14.57,14.36,15.48,13.33,1176336,1674578297.0,14.87,-0.69,-0.1,44.83
140,2016-06-30,14.37,16.33,16.94,14.21,2129588,3302849369.0,19.01,13.72,1.97,81.15
141,2016-07-29,16.37,14.94,16.86,14.6,1887138,3034865590.0,13.84,-8.51,-1.39,71.92
142,2016-08-31,14.83,15.64,16.3,14.38,1440157,2233841772.0,12.85,4.69,0.7,54.88
143,2016-09-30,15.65,17.09,17.46,15.0,2326283,3779496121.0,15.73,9.27,1.45,88.65
144,2016-10-31,17.12,16.52,17.9,16.08,1546115,2651519039.0,10.65,-3.34,-0.57,58.92
145,2016-11-30,16.49,16.17,18.47,16.0,2013343,3499287657.0,14.95,-2.12,-0.35,76.72
146,2016-12-30,16.15,14.47,16.42,14.1,1070189,1604080753.0,14.35,-10.51,-1.7,40.24
147,2017-01-26,14.57,14.4,15.32,13.3,650501,952626117.0,13.96,-0.48,-0.07,24.46
148,2017-02-28,14.4,14.92,14.93,14.1,677705,982467936.0,5.76,3.61,0.52,25.48
149,2017-03-31,14.82,13.83,15.15,13.59,1083218,1582862290.0,10.46,-7.31,-1.09,40.73
150,2017-04-28,13.9,11.79,14.18,11.63,850995,1097147388.0,18.44,-14.75,-2.04,32.0
151,2017-05-31,11.67,11.32,11.7,10.51,1416250,1585322960.0,10.09,-3.99,-0.47,53.25
152,2017-06-30,11.2,11.42,11.94,10.81,926542,1071593359.0,9.98,0.88,0.1,34.14
153,2017-07-31,11.43,13.16,13.2,11.15,1192727,1483390477.0,17.95,15.24,1.74,43.94
154,2017-08-31,13.13,13.54,13.66,12.15,1092520,1428882738.0,11.47,2.89,0.38,40.25
155,2017-09-29,13.48,15.85,15.85,13.36,1180615,1721675238.0,18.39,17.06,2.31,43.5
156,2017-10-31,16.0,15.41,16.91,15.0,810222,1314105990.0,12.05,-2.78,-0.44,29.85
157,2017-11-30,15.3,17.3,19.27,14.86,1598969,2772947448.0,28.62,12.26,1.89,56.82
158,2017-12-29,17.25,16.86,18.2,15.7,939408,1608441018.0,14.45,-2.54,-0.44,33.38
159,2018-01-31,17.39,14.97,17.75,14.84,933366,1518488132.0,17.26,-11.21,-1.89,33.17
160,2018-02-28,14.98,15.79,17.15,12.53,1062596,1555276260.0,30.86,5.48,0.82,37.76
161,2018-03-30,15.79,15.57,17.7,13.3,1625982,2596886850.0,27.87,-1.39,-0.22,57.78
162,2018-04-27,15.57,15.37,16.18,14.36,1198727,1825267424.0,11.69,-1.28,-0.2,42.6
163,2018-05-31,15.35,13.69,16.34,12.6,1509501,2277925380.0,24.33,-10.93,-1.68,53.64
164,2018-06-29,13.55,11.97,13.83,11.08,822371,1034769434.0,20.09,-12.56,-1.72,29.22
165,2018-07-31,12.0,11.13,12.84,10.93,951592,1132473277.0,15.96,-7.02,-0.84,35.06
166,2018-08-31,11.15,9.81,11.19,9.68,635704,668169974.0,13.57,-11.86,-1.32,23.42
167,2018-09-28,9.9,8.87,9.92,8.65,852497,778621743.0,12.95,-9.58,-0.94,31.41
168,2018-10-31,8.68,7.43,8.68,6.75,951712,707409226.0,21.76,-16.23,-1.44,35.06
169,2018-11-30,7.59,7.63,8.56,7.43,1421115,1138912692.0,15.21,2.69,0.2,52.36
