,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-08-21,32.26,56.67,56.67,32.26,5233,26288686.0,90.81,110.83,29.79,1.16
1,2020-08-28,62.34,80.05,83.98,62.34,795593,5930257146.0,38.19,41.26,23.38,176.02
2,2020-09-04,83.32,91.94,99.44,82.69,649110,5856918544.0,20.92,14.85,11.89,143.61
3,2020-09-11,95.42,99.55,99.55,83.48,544001,4998734512.0,17.48,8.28,7.61,120.35
4,2020-09-18,101.0,102.0,112.68,96.0,427051,4410049408.0,16.76,2.46,2.45,94.48
5,2020-09-25,100.2,91.27,107.88,89.88,294177,2937555968.0,17.65,-10.52,-10.73,65.08
6,2020-09-30,91.5,88.05,94.19,88.05,162821,1497250192.0,6.73,-3.53,-3.22,36.02
7,2020-10-09,90.51,96.86,96.86,90.08,85164,805120672.0,7.7,10.01,8.81,18.84
8,2020-10-16,97.27,88.0,101.68,83.81,380320,3536901120.0,18.45,-9.15,-8.86,84.14
9,2020-10-23,87.17,76.08,89.11,75.8,291061,2399707584.0,15.13,-13.55,-11.92,64.39
10,2020-10-30,75.6,76.5,83.8,74.52,254975,2020276468.0,12.2,0.55,0.42,56.41
11,2020-11-06,76.61,86.6,88.31,76.61,266163,2223755720.0,15.29,13.2,10.1,58.89
12,2020-11-13,87.85,85.74,95.18,84.3,252799,2239232016.0,12.56,-0.99,-0.86,55.93
13,2020-11-20,86.01,78.9,87.99,76.12,187896,1515601811.0,13.84,-7.98,-6.84,41.57
14,2020-11-27,78.95,74.04,81.2,73.4,168229,1308257943.0,9.89,-6.16,-4.86,37.22
15,2020-12-04,74.13,77.46,78.27,72.6,146747,1117832890.0,7.66,4.62,3.42,32.47
16,2020-12-11,77.8,76.76,83.83,75.0,215442,1721758999.0,11.4,-0.9,-0.7,47.66
17,2020-12-18,76.24,76.8,84.96,73.4,254119,2016169937.0,15.06,0.05,0.04,56.22
18,2020-12-25,75.02,71.5,77.96,67.01,203294,1481520100.0,14.26,-6.9,-5.3,44.98
19,2020-12-31,70.0,66.36,70.15,63.65,153432,1024376598.0,9.09,-7.19,-5.14,33.95
20,2021-01-08,66.24,62.52,68.78,57.88,163713,1058757480.0,16.43,-5.79,-3.84,36.22
21,2021-01-15,61.93,64.6,66.86,60.15,144984,914063947.0,10.73,3.33,2.08,32.08
22,2021-01-22,64.15,60.64,66.6,60.34,116700,741652390.0,9.69,-6.13,-3.96,25.82
23,2021-01-29,59.79,51.85,59.85,51.23,148295,830277070.0,14.22,-14.5,-8.79,32.81
24,2021-02-05,51.77,47.18,54.32,47.0,110069,560666453.0,14.12,-9.01,-4.67,24.35
25,2021-02-10,47.51,48.95,49.55,47.04,55370,268219430.0,5.32,3.75,1.77,12.25
26,2021-02-19,49.9,51.8,52.1,49.7,50262,255294101.0,4.9,5.82,2.85,11.12
27,2021-02-26,52.53,49.6,53.22,49.21,98382,502807708.0,7.74,-4.25,-2.2,21.77
28,2021-03-05,49.67,59.0,60.35,49.61,251776,1420980878.0,21.65,18.95,9.4,55.7
29,2021-03-12,59.02,54.76,60.76,53.81,179850,1021215235.0,11.78,-7.19,-4.24,39.79
30,2021-03-19,54.15,56.9,59.66,50.15,218251,1196755722.0,17.37,3.91,2.14,48.29
31,2021-03-26,58.0,60.45,61.47,56.18,212047,1246824646.0,9.3,6.24,3.55,46.91
32,2021-04-02,60.11,60.31,60.31,54.19,189703,1082268221.0,10.12,-0.23,-0.14,41.97
33,2021-04-09,61.98,61.97,63.33,59.02,216015,1322184158.0,7.15,2.75,1.66,47.79
34,2021-04-16,62.13,68.88,69.56,57.8,351326,2290759972.0,18.98,11.15,6.91,77.73
35,2021-04-23,68.16,68.78,70.08,65.67,191395,1292142731.0,6.4,-0.15,-0.1,42.34
36,2021-04-30,68.55,42.05,68.67,41.5,216913,1182264485.0,39.5,-38.86,-26.73,36.91
37,2021-05-07,42.05,38.85,42.05,38.44,81878,324847129.0,8.59,-7.61,-3.2,13.93
38,2021-05-14,38.62,38.28,39.33,36.82,191139,725519789.0,6.46,-1.47,-0.57,32.53
39,2021-05-21,38.05,35.45,38.8,34.6,210594,764805976.0,10.97,-7.39,-2.83,35.84
40,2021-05-28,35.1,37.21,38.49,34.74,189521,698119309.0,10.58,4.96,1.76,32.25
41,2021-06-04,37.38,38.32,40.99,37.2,192570,744179537.0,10.19,2.98,1.11,32.77
42,2021-06-11,38.69,36.7,39.3,36.45,143817,545798272.0,7.44,-4.23,-1.62,24.48
43,2021-06-18,36.73,43.59,47.6,36.37,393644,1695220088.0,30.6,18.77,6.89,66.99
44,2021-06-25,42.2,44.8,47.66,42.2,447757,2000488551.0,12.53,2.78,1.21,76.2
45,2021-07-02,44.51,42.08,45.94,41.74,205052,898292458.0,9.38,-6.07,-2.72,34.9
