,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-01-19,3.33,3.43,3.45,3.33,370,124500.0,0.0,0.0,0.0,0.01
1,2018-01-24,3.33,3.41,3.42,3.33,50,16960.0,2.62,-0.58,-0.02,0.0
2,2018-02-02,3.45,3.5,3.5,3.45,30,10400.0,1.47,2.64,0.09,0.0
3,2018-02-08,3.49,3.49,3.49,3.49,20,6980.0,0.0,-0.29,-0.01,0.0
4,2018-02-12,3.45,3.45,3.45,3.45,20,6900.0,0.0,-1.15,-0.04,0.0
5,2018-03-07,3.46,3.46,3.46,3.46,30,10380.0,0.0,0.29,0.01,0.0
6,2018-03-16,3.46,3.47,3.47,3.46,540,186940.0,0.29,0.29,0.01,0.01
7,2018-03-20,3.46,3.46,3.46,3.46,50,17300.0,0.0,-0.29,-0.01,0.0
8,2018-03-29,3.46,3.46,3.46,3.46,60,20760.0,0.0,0.0,0.0,0.0
9,2018-04-04,3.46,3.46,3.46,3.46,50,17300.0,0.0,0.0,0.0,0.0
10,2018-04-10,3.46,3.46,3.46,3.46,20,6920.0,0.0,0.0,0.0,0.0
11,2018-04-18,3.46,3.45,3.46,3.45,100,34520.0,0.29,-0.29,-0.01,0.0
12,2018-11-28,3.45,3.45,3.45,3.45,10,3450.0,0.0,0.0,0.0,0.0
13,2019-07-02,3.08,3.08,3.08,3.08,20,6160.0,0.0,-10.72,-0.37,0.0
14,2019-08-29,3.09,3.09,3.09,3.09,10,3090.0,0.0,0.32,0.01,0.0
15,2019-10-08,5.0,5.0,5.0,5.0,10,5000.0,0.0,61.81,1.91,0.0
16,2019-11-01,5.0,5.0,5.0,5.0,10,5000.0,0.0,0.0,0.0,0.0
17,2019-12-17,5.0,5.0,5.0,5.0,10,5000.0,0.0,0.0,0.0,0.0
18,2019-12-25,5.0,5.0,5.0,5.0,10,5000.0,0.0,0.0,0.0,0.0
19,2020-01-17,3.0,4.02,4.02,3.0,110,36020.0,20.4,-19.6,-0.98,0.0
20,2020-02-06,4.03,4.2,4.2,4.03,30,12260.0,4.23,4.48,0.18,0.0
21,2020-02-28,4.21,6.01,7.0,4.21,430,263460.0,66.43,43.1,1.81,0.01
22,2020-03-06,6.2,5.85,6.2,5.65,13220,7814020.0,9.15,-2.66,-0.16,0.31
23,2020-03-13,6.01,5.0,6.05,5.0,17910,10068130.0,17.95,-14.53,-0.85,0.42
24,2020-03-20,5.13,5.43,5.72,5.04,13840,7032930.0,13.6,8.6,0.43,0.32
25,2020-03-27,5.48,4.46,5.54,4.46,126830,55288070.0,19.89,-17.86,-0.97,2.97
26,2020-04-03,4.43,4.86,5.05,4.43,3492,1671625.0,13.9,8.97,0.4,0.08
27,2020-04-10,4.94,4.82,5.1,4.8,4025,1943370.0,6.17,-0.82,-0.04,0.09
28,2020-04-17,4.82,4.81,4.99,4.45,3212,1527332.0,11.2,-0.21,-0.01,0.08
29,2020-04-24,4.97,5.24,6.0,4.97,26391,14679095.0,21.41,8.94,0.43,0.62
30,2020-04-30,5.28,5.89,6.5,5.28,11543,6590926.0,23.28,12.4,0.65,0.27
31,2020-05-08,5.87,5.39,5.87,5.25,61843,31159729.0,10.53,-8.49,-0.5,1.45
32,2020-05-15,5.39,5.58,5.7,5.02,16137,8645834.0,12.62,3.53,0.19,0.38
33,2020-05-22,5.58,5.55,5.71,5.5,8550,4784239.0,3.76,-0.54,-0.03,0.2
34,2020-05-29,5.56,5.39,5.63,5.25,6746,3663559.0,6.85,-2.88,-0.16,0.16
35,2020-07-31,8.41,7.22,9.5,5.57,764031,527062553.0,72.78,33.7,1.82,17.91
36,2020-08-07,7.3,6.34,7.34,6.28,209111,145184690.0,14.68,-12.19,-0.88,4.9
37,2020-08-14,6.35,6.07,6.5,5.98,66624,41426294.0,8.2,-4.26,-0.27,1.56
38,2020-08-21,6.07,5.78,6.14,5.72,55208,32769593.0,6.92,-4.78,-0.29,1.29
39,2020-08-28,5.84,6.1,6.18,5.73,48137,28783076.0,7.79,5.54,0.32,1.13
40,2020-09-04,6.12,6.02,6.14,5.92,48083,28962347.0,3.61,-1.31,-0.08,1.13
41,2020-09-11,6.0,5.85,6.03,5.54,53830,31069687.0,8.14,-2.82,-0.17,1.26
42,2020-09-18,5.77,5.86,5.91,5.76,24730,14405834.0,2.56,0.17,0.01,0.58
43,2020-09-25,5.82,5.86,5.91,5.8,20804,12187173.0,1.88,0.0,0.0,0.49
44,2020-09-30,5.82,5.97,5.99,5.73,19782,11530583.0,4.44,1.88,0.11,0.46
45,2020-10-09,5.94,6.19,6.29,5.94,12048,7313588.0,5.86,3.69,0.22,0.28
46,2020-10-16,6.21,6.68,6.68,6.13,115344,74706368.0,8.89,7.92,0.49,2.7
47,2020-10-23,6.66,6.67,6.82,6.55,45243,30434160.0,4.04,-0.15,-0.01,1.06
48,2020-10-30,6.64,6.52,6.71,6.5,26758,17609303.0,3.15,-2.25,-0.15,0.63
49,2020-11-06,6.5,6.33,6.53,6.23,24453,15496047.0,4.6,-2.91,-0.19,0.57
50,2020-11-13,6.32,6.29,6.36,6.14,16422,10256593.0,3.48,-0.63,-0.04,0.38
51,2020-11-20,6.26,6.23,6.31,6.17,12808,7965369.0,2.23,-0.95,-0.06,0.3
52,2020-11-27,6.22,6.01,6.27,5.9,21707,13277867.0,5.94,-3.53,-0.22,0.51
53,2020-12-04,6.19,5.37,6.33,5.31,160020,90035366.0,16.97,-10.65,-0.64,3.75
54,2020-12-11,5.39,4.92,5.43,4.9,48026,24757508.0,9.87,-8.38,-0.45,1.13
55,2020-12-18,4.91,5.1,5.15,4.85,31121,15472512.0,6.1,3.66,0.18,0.73
56,2020-12-25,5.05,4.89,5.19,4.69,28747,14367393.0,9.8,-4.12,-0.21,0.67
57,2020-12-31,4.9,4.9,5.04,4.81,15855,7754090.0,4.7,0.2,0.01,0.37
58,2021-01-08,4.86,4.75,5.0,4.7,23966,11593705.0,6.12,-3.06,-0.15,0.56
59,2021-01-15,4.78,4.3,4.78,4.23,44020,19438071.0,11.58,-9.47,-0.45,1.03
60,2021-01-22,4.35,5.04,5.07,4.27,54507,25669270.0,18.6,17.21,0.74,1.28
61,2021-01-29,5.15,4.67,5.18,4.6,40300,19422977.0,11.51,-7.34,-0.37,0.94
62,2021-02-05,4.65,4.5,4.7,4.46,24068,11030788.0,5.14,-3.64,-0.17,0.56
63,2021-02-10,4.56,4.54,4.59,4.4,11463,5141294.0,4.22,0.89,0.04,0.27
64,2021-02-19,4.55,4.64,4.66,4.52,4613,2121353.0,3.08,2.2,0.1,0.11
65,2021-02-26,4.61,4.55,4.66,4.5,16661,7612530.0,3.45,-1.94,-0.09,0.39
66,2021-03-05,4.89,4.85,4.98,4.66,58902,27698578.0,7.03,6.59,0.3,1.38
67,2021-03-12,4.9,4.57,4.9,4.5,37997,17574864.0,8.25,-5.77,-0.28,0.89
68,2021-03-19,4.56,4.71,4.73,4.53,24468,11265018.0,4.38,3.06,0.14,0.57
69,2021-03-26,4.72,4.74,4.97,4.65,33777,16218499.0,6.79,0.64,0.03,0.79
70,2021-04-02,4.7,4.79,4.82,4.7,12481,5923664.0,2.53,1.05,0.05,0.29
71,2021-04-09,4.75,4.93,4.96,4.75,15972,7805081.0,4.38,2.92,0.14,0.37
72,2021-04-16,4.95,4.95,5.04,4.82,19655,9733025.0,4.46,0.41,0.02,0.46
73,2021-04-23,4.95,4.91,5.02,4.87,14254,7036895.0,3.03,-0.81,-0.04,0.33
74,2021-04-30,4.98,4.9,5.03,4.86,16196,7977155.0,3.46,-0.2,-0.01,0.38
75,2021-05-07,4.9,4.87,4.93,4.83,10140,4909063.0,2.04,-0.61,-0.03,0.24
76,2021-05-14,4.88,4.82,4.9,4.75,21805,10473381.0,3.08,-1.03,-0.05,0.51
77,2021-05-21,4.84,4.87,4.91,4.83,13309,6321766.0,1.66,1.04,0.05,0.31
78,2021-05-28,4.87,4.67,4.93,4.65,14656,7087722.0,5.75,-4.11,-0.2,0.34
79,2021-06-04,4.7,4.77,4.82,4.66,17274,8212986.0,3.43,2.14,0.1,0.4
80,2021-06-11,4.77,5.1,5.16,4.77,63715,32124698.0,8.18,6.92,0.33,1.49
81,2021-06-18,5.1,5.11,5.14,5.03,31684,16098181.0,2.16,0.2,0.01,0.74
82,2021-06-25,5.1,5.25,5.36,5.05,64142,33402943.0,6.07,2.74,0.14,1.5
83,2021-07-02,5.2,5.21,5.33,5.13,38167,19940616.0,3.81,-0.76,-0.04,0.89
84,2021-07-09,5.21,5.28,5.3,5.19,31053,15959654.0,2.11,1.34,0.07,0.73
85,2021-07-16,5.3,5.57,5.65,5.3,64239,35459370.0,6.63,5.49,0.29,1.51
86,2021-07-23,5.53,5.26,5.69,5.25,43996,23968802.0,7.9,-5.57,-0.31,1.03
87,2021-07-30,5.28,4.98,5.35,4.91,30050,15269030.0,8.37,-5.32,-0.28,0.7
88,2021-08-06,4.99,4.99,5.06,4.95,10591,5297816.0,2.21,0.2,0.01,0.25
89,2021-08-13,4.96,5.17,5.29,4.96,34974,17968140.0,6.61,3.61,0.18,0.82
90,2021-08-20,5.19,5.09,5.27,5.03,37314,19245016.0,4.64,-1.55,-0.08,0.87
91,2021-08-27,5.09,4.68,5.09,4.68,35392,17336995.0,8.06,-8.06,-0.41,0.83
92,2021-09-03,4.74,5.36,5.74,4.68,100667,53871421.0,22.65,14.53,0.68,2.36
93,2021-09-10,5.53,7.12,7.46,5.53,289743,188810904.0,36.01,32.84,1.76,6.79
94,2021-09-17,7.13,6.87,7.5,6.53,158251,112049368.0,13.62,-3.51,-0.25,3.71
95,2021-09-24,7.29,7.37,7.6,7.06,66845,49069598.0,7.86,7.28,0.5,1.57
96,2021-09-30,7.38,7.26,7.4,6.91,40043,28471718.0,6.65,-1.49,-0.11,0.94
97,2021-10-08,7.21,7.09,7.25,7.05,7267,5188083.0,2.75,-2.34,-0.17,0.17
98,2021-10-15,7.09,7.07,7.18,6.7,21093,14762620.0,6.77,-0.28,-0.02,0.49
99,2021-10-22,7.1,6.99,7.11,6.81,23894,16648070.0,4.24,-1.13,-0.08,0.56
100,2021-10-29,6.97,6.03,7.0,5.62,54038,33404758.0,19.74,-13.73,-0.96,1.27
101,2021-11-05,6.35,6.7,6.79,6.08,56847,36702146.0,11.77,11.11,0.67,1.33
102,2021-11-12,6.8,8.88,8.95,6.8,161721,127482882.0,32.09,32.54,2.18,3.79
103,2021-11-19,9.55,8.74,10.88,7.75,626073,568722728.0,35.25,-1.58,-0.14,14.67
104,2021-11-26,8.57,8.16,9.08,8.0,283260,241877216.0,12.36,-6.64,-0.58,6.64
105,2021-12-03,8.37,7.52,8.69,7.47,218324,177062924.0,14.95,-7.84,-0.64,5.12
106,2021-12-10,7.52,7.13,7.59,6.9,93168,66738755.0,9.18,-5.19,-0.39,2.18
107,2021-12-17,7.03,7.52,7.91,7.03,122461,93550134.0,12.34,5.47,0.39,2.87
108,2021-12-24,7.58,8.55,8.9,7.11,257816,207060820.0,23.8,13.7,1.03,6.04
109,2021-12-31,8.98,17.6,23.99,8.71,1126298,1661751221.0,178.71,105.85,9.05,26.4
110,2022-01-07,19.11,14.98,23.8,14.5,803711,1459629648.0,52.84,-14.89,-2.62,18.84
111,2022-01-14,15.58,27.99,27.99,15.3,1029168,2034234992.0,84.71,86.85,13.01,24.12
112,2022-01-21,29.9,28.97,38.78,22.5,1302781,3843718752.0,58.16,3.5,0.98,30.53
113,2022-01-28,25.9,23.88,27.0,19.95,919710,2111878000.0,24.34,-17.57,-5.09,21.55
114,2022-02-11,22.0,17.42,23.8,16.12,719055,1473605250.0,32.16,-27.05,-6.46,16.85
115,2022-02-18,19.52,21.62,24.98,19.0,1005327,2209107152.0,34.33,24.11,4.2,23.56
116,2022-02-25,23.6,20.61,24.21,19.36,790747,1721935040.0,22.43,-4.67,-1.01,18.53
117,2022-03-04,20.47,19.11,21.55,18.87,762565,1514514881.0,13.0,-7.28,-1.5,17.87
118,2022-03-11,19.08,19.14,19.99,14.68,720167,1235656199.0,27.79,0.16,0.03,16.88
119,2022-03-18,20.0,23.49,25.8,17.4,1120651,2365513094.0,43.89,22.73,4.35,26.26
120,2022-03-25,23.5,20.88,27.9,20.44,1157592,2847920736.0,31.76,-11.11,-2.61,27.13
121,2022-04-01,20.85,17.54,21.71,17.52,673242,1335407321.0,20.07,-16.0,-3.34,15.78
122,2022-04-08,18.26,16.17,18.75,16.16,248684,430339523.0,14.77,-7.81,-1.37,5.83
123,2022-04-15,16.08,17.07,17.97,15.1,444086,730583958.0,17.75,5.57,0.9,10.41
124,2022-04-22,16.8,11.51,16.81,11.25,409438,575339374.0,32.57,-32.57,-5.56,9.6
125,2022-04-29,11.6,12.14,12.41,10.56,391638,453881557.0,16.07,5.47,0.63,9.18
126,2022-05-06,12.12,13.1,13.68,11.7,211455,269827954.0,16.31,7.91,0.96,4.96
127,2022-05-13,13.45,12.85,13.72,12.08,492159,642048920.0,12.52,-1.91,-0.25,11.53
