,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-08-30,42.7,62.0,62.0,42.7,523,2992560.0,54.24,74.26,26.42,0.45
1,2019-09-06,68.2,83.99,90.77,68.2,127747,1127282258.0,36.4,35.47,21.99,111.08
2,2019-09-12,82.81,88.28,94.48,80.5,128640,1136872150.0,16.64,5.11,4.29,111.86
3,2019-09-20,87.68,92.94,103.88,87.68,156341,1482211883.0,18.35,5.28,4.66,135.95
4,2019-09-27,90.55,87.14,96.3,84.71,101925,924325073.0,12.47,-6.24,-5.8,88.63
5,2019-09-30,86.2,82.5,87.18,82.5,13164,110942114.0,5.37,-5.32,-4.64,11.45
6,2019-10-11,82.38,77.95,83.45,75.22,46068,360727454.0,9.98,-5.52,-4.55,40.06
7,2019-10-18,79.01,77.6,82.5,77.5,52343,420748436.0,6.41,-0.45,-0.35,45.52
8,2019-10-25,77.6,76.82,79.28,72.21,42436,318984705.0,9.11,-1.01,-0.78,36.9
9,2019-11-01,76.99,68.13,77.83,66.7,43896,316810042.0,14.49,-11.31,-8.69,38.17
10,2019-11-08,68.0,74.36,74.36,66.27,37902,263254523.0,11.87,9.14,6.23,32.96
11,2019-11-15,75.44,81.23,83.99,74.0,126241,1006852774.0,13.43,9.24,6.87,109.78
12,2019-11-22,79.81,79.97,88.42,78.0,94597,782467884.0,12.83,-1.55,-1.26,82.26
13,2019-11-29,79.24,77.91,80.75,73.4,59356,454958691.0,9.19,-2.58,-2.06,51.61
14,2019-12-06,77.01,77.75,79.0,74.16,43490,334520301.0,6.21,-0.21,-0.16,37.82
15,2019-12-13,78.27,75.0,79.45,73.92,38475,294687548.0,7.11,-3.54,-2.75,33.46
16,2019-12-20,77.89,88.6,92.39,77.79,100793,855860892.0,19.47,18.13,13.6,87.65
17,2019-12-27,87.55,93.9,96.66,83.21,97595,877404144.0,15.18,5.98,5.3,84.86
18,2020-01-03,92.51,87.3,97.88,86.5,68497,618252316.0,12.12,-7.03,-6.6,59.56
19,2020-01-10,86.08,90.6,91.33,85.53,49937,441535264.0,6.64,3.78,3.3,43.42
20,2020-01-17,90.12,87.6,91.88,86.87,41014,365615570.0,5.53,-3.31,-3.0,35.66
21,2020-01-23,87.47,84.04,94.87,84.04,54269,485399082.0,12.36,-4.06,-3.56,47.19
22,2020-02-07,75.64,72.42,75.64,68.08,69910,489076623.0,9.0,-13.83,-11.62,60.79
23,2020-02-14,72.08,72.47,74.83,71.34,48604,357032978.0,4.82,0.07,0.05,42.26
24,2020-02-21,73.8,78.7,80.5,73.1,65404,500763220.0,10.21,8.6,6.23,56.87
25,2020-02-28,78.07,68.6,78.72,68.4,55180,412742163.0,13.11,-12.83,-10.1,47.98
26,2020-03-06,69.08,72.44,73.9,68.83,41148,295128493.0,7.39,5.6,3.84,35.78
27,2020-03-13,72.0,69.05,75.46,66.01,51779,371797308.0,13.05,-4.68,-3.39,45.03
28,2020-03-20,69.3,68.31,69.8,64.9,30329,204199766.0,7.1,-1.07,-0.74,26.37
29,2020-03-27,67.38,67.38,68.83,65.03,22546,151557825.0,5.56,-1.36,-0.93,19.61
30,2020-04-03,66.66,62.78,66.66,61.18,21686,137455052.0,8.13,-6.83,-4.6,18.86
31,2020-04-10,63.4,62.12,65.96,61.29,19197,123322859.0,7.44,-1.05,-0.66,16.69
32,2020-04-17,61.96,62.68,63.3,60.04,15460,94829861.0,5.25,0.9,0.56,13.44
33,2020-04-24,62.64,63.25,65.45,61.89,21634,138199569.0,5.68,0.91,0.57,18.81
34,2020-04-30,59.9,55.38,60.86,52.15,26839,150424313.0,13.77,-12.44,-7.87,23.34
35,2020-05-08,55.28,57.47,57.8,54.41,11008,62311263.0,6.12,3.77,2.09,9.57
36,2020-05-15,57.6,57.22,58.95,56.12,19129,110248830.0,4.92,-0.44,-0.25,16.63
37,2020-05-22,57.86,55.2,59.95,54.9,21740,124483100.0,8.83,-3.53,-2.02,18.9
38,2020-05-29,55.52,56.63,58.66,54.01,19481,110353681.0,8.42,2.59,1.43,16.94
39,2020-06-05,56.65,58.7,59.9,56.65,17080,100192675.0,5.74,3.66,2.07,14.85
40,2020-06-12,58.69,57.4,59.01,56.2,12393,71578230.0,4.79,-2.21,-1.3,10.78
41,2020-06-19,57.1,58.62,59.59,57.1,14031,82276378.0,4.34,2.13,1.22,12.2
42,2020-06-24,58.9,59.51,62.1,58.31,17137,102810046.0,6.47,1.52,0.89,14.9
43,2020-07-03,58.92,59.45,59.76,57.64,17494,102972671.0,3.56,-0.1,-0.06,15.21
44,2020-07-10,59.48,66.31,66.95,59.45,33697,214059053.0,12.62,11.54,6.86,29.3
45,2020-07-17,66.0,60.58,67.6,60.05,28097,180674229.0,11.39,-8.64,-5.73,24.43
46,2020-07-24,60.81,59.47,62.88,59.3,18796,115326799.0,5.91,-1.83,-1.11,16.34
47,2020-07-31,59.47,60.19,60.83,57.99,14085,83621102.0,4.78,1.21,0.72,12.25
48,2020-08-07,60.19,60.0,61.97,59.03,17990,109137886.0,4.88,-0.32,-0.19,15.64
49,2020-08-14,60.0,58.3,63.0,57.46,16425,97664627.0,9.23,-2.83,-1.7,14.28
50,2020-08-21,58.36,63.71,63.71,57.3,23794,144823529.0,10.99,9.28,5.41,20.69
51,2020-08-28,65.47,59.09,65.48,57.52,54015,336686718.0,12.49,-7.25,-4.62,46.97
52,2020-09-04,59.01,63.88,66.62,58.85,64070,411161567.0,13.15,8.11,4.79,37.78
53,2020-09-11,63.88,68.44,68.76,61.04,68531,449150467.0,12.09,7.14,4.56,40.41
54,2020-09-18,68.6,67.2,70.32,65.01,51317,347150619.0,7.76,-1.81,-1.24,30.26
55,2020-09-25,67.8,61.01,67.8,60.58,23399,148940195.0,10.74,-9.21,-6.19,13.8
56,2020-09-30,61.02,61.86,62.5,60.31,7609,46767140.0,3.59,1.39,0.85,4.49
57,2020-10-09,62.29,62.74,63.1,62.25,3101,19461695.0,1.37,1.42,0.88,1.83
58,2020-10-16,63.0,63.07,64.0,61.0,19817,124410295.0,4.78,0.53,0.33,11.69
59,2020-10-23,63.63,65.2,67.29,61.1,38535,249861195.0,9.81,3.38,2.13,22.72
60,2020-10-30,65.2,63.84,67.18,62.7,42077,272967694.0,6.87,-2.09,-1.36,24.81
61,2020-11-06,63.84,65.78,68.5,61.2,52531,346215563.0,11.43,3.04,1.94,30.98
62,2020-11-13,66.85,63.29,68.8,62.41,33103,217910132.0,9.71,-3.79,-2.49,19.52
63,2020-11-20,63.35,70.18,70.78,60.06,50499,331914977.0,16.94,10.89,6.89,29.78
64,2020-11-27,70.0,62.51,71.0,62.12,50170,332115002.0,12.65,-10.93,-7.67,29.59
65,2020-12-04,62.51,62.29,63.48,61.67,18841,117878934.0,2.9,-0.35,-0.22,11.11
66,2020-12-11,61.63,56.79,64.25,56.36,22375,135574142.0,12.67,-8.83,-5.5,13.19
67,2020-12-18,56.79,53.54,58.36,52.71,16925,93516211.0,9.95,-5.72,-3.25,9.98
68,2020-12-25,53.54,48.49,54.44,47.25,22456,112778196.0,13.43,-9.43,-5.05,13.24
69,2020-12-31,48.53,47.52,48.69,46.11,13364,63382695.0,5.32,-2.0,-0.97,7.88
70,2021-01-08,47.24,43.9,48.8,41.8,23062,104329664.0,14.73,-7.62,-3.62,13.6
71,2021-01-15,43.9,44.1,44.74,40.8,20596,88267522.0,8.97,0.46,0.2,12.15
72,2021-01-22,44.1,43.94,45.6,43.28,16463,73206778.0,5.26,-0.36,-0.16,9.71
73,2021-01-29,43.51,41.41,44.02,40.88,13178,55748239.0,7.15,-5.76,-2.53,7.77
74,2021-02-05,41.45,38.11,42.5,38.07,11409,45882108.0,10.7,-7.97,-3.3,6.73
75,2021-02-10,38.18,38.29,38.73,37.1,5272,19973391.0,4.28,0.47,0.18,3.11
76,2021-02-19,38.69,40.81,40.88,38.36,4482,17965327.0,6.58,6.58,2.52,2.64
77,2021-02-26,41.45,41.51,42.08,40.0,10645,43797734.0,5.1,1.72,0.7,6.28
78,2021-03-05,41.9,42.98,43.15,41.51,10532,44672938.0,3.95,3.54,1.47,6.21
79,2021-03-12,43.44,40.57,43.78,39.52,10661,44464277.0,9.91,-5.61,-2.41,6.29
80,2021-03-19,40.57,44.08,49.89,40.03,29601,130952419.0,24.3,8.65,3.51,17.46
81,2021-03-26,43.53,44.15,44.98,42.65,19756,86618264.0,5.29,0.16,0.07,11.65
82,2021-04-02,44.19,41.75,44.8,41.01,12532,53157200.0,8.58,-5.44,-2.4,7.39
83,2021-04-09,41.76,42.5,43.69,41.51,8907,38223423.0,5.22,1.8,0.75,5.25
84,2021-04-16,42.5,42.84,43.14,41.11,7944,33576373.0,4.78,0.8,0.34,4.68
85,2021-04-23,42.78,43.7,44.56,41.51,12041,51778561.0,7.12,2.01,0.86,7.1
86,2021-04-30,44.3,43.5,45.57,43.25,23965,106420235.0,5.31,-0.46,-0.2,14.13
87,2021-05-07,43.34,42.54,43.89,42.25,4116,17726421.0,3.77,-2.21,-0.96,2.43
88,2021-05-14,42.54,44.47,44.58,42.0,8261,35894957.0,6.06,4.54,1.93,4.87
89,2021-05-21,44.2,45.99,46.4,43.8,13809,61887338.0,5.85,3.42,1.52,8.14
90,2021-05-28,45.58,45.6,47.76,45.2,22531,104588105.0,5.57,-0.85,-0.39,13.16
91,2021-06-04,25.05,24.26,26.25,24.1,28210,71373679.0,4.71,-46.8,-21.34,9.15
92,2021-06-11,24.46,25.24,25.65,24.1,24742,61554439.0,6.39,4.04,0.98,8.03
93,2021-06-18,25.01,24.81,25.4,24.05,16901,41854199.0,5.35,-1.7,-0.43,5.48
94,2021-06-25,24.79,25.2,26.23,24.79,32693,83569168.0,5.8,1.57,0.39,10.61
95,2021-07-02,25.02,23.48,25.2,23.19,17953,43790224.0,7.98,-6.83,-1.72,5.83
96,2021-07-09,23.5,23.84,24.64,23.35,15942,38394205.0,5.49,1.53,0.36,5.17
97,2021-07-16,24.21,21.94,24.43,21.89,21293,49169196.0,10.65,-7.97,-1.9,6.91
98,2021-07-23,22.01,22.0,23.0,21.58,14401,32174810.0,6.47,0.27,0.06,4.67
99,2021-07-30,22.0,23.1,23.67,20.74,18899,41825034.0,13.32,5.0,1.1,6.13
100,2021-08-06,23.0,23.87,24.4,22.61,31250,74561423.0,7.75,3.33,0.77,10.14
101,2021-08-13,23.8,25.49,26.29,23.52,43492,110303960.0,11.6,6.79,1.62,14.11
102,2021-08-20,25.17,24.31,29.97,24.08,104242,280708714.0,23.11,-4.63,-1.18,33.83
103,2021-08-27,24.29,23.8,25.88,23.4,49072,121361908.0,10.2,-2.1,-0.51,15.93
104,2021-09-03,23.8,23.94,24.34,22.73,26498,62270544.0,6.76,0.59,0.14,8.6
105,2021-09-10,23.9,23.75,24.63,23.31,25618,61549838.0,5.51,-0.79,-0.19,8.31
106,2021-09-17,23.75,23.4,23.94,22.77,19168,44694549.0,4.93,-1.47,-0.35,6.22
107,2021-09-24,23.19,28.92,31.0,22.99,92894,262582146.0,34.23,23.59,5.52,30.15
108,2021-09-30,28.0,28.94,33.33,26.66,172816,504440331.0,23.06,0.07,0.02,56.08
109,2021-10-08,29.15,28.38,29.4,27.64,24186,67982788.0,6.08,-1.94,-0.56,7.85
110,2021-10-15,28.23,25.89,28.45,25.12,87487,231170703.0,11.73,-8.77,-2.49,28.39
111,2021-10-22,25.57,27.72,29.24,24.86,77924,206246618.0,16.92,7.07,1.83,25.29
112,2021-10-29,27.0,28.54,30.5,25.95,134824,378185337.0,16.41,2.96,0.82,43.75
113,2021-11-05,28.43,28.88,29.85,27.1,93446,265993217.0,9.64,1.19,0.34,30.33
114,2021-11-12,28.8,30.19,31.0,26.36,130636,378059438.0,16.07,4.54,1.31,42.4
115,2021-11-19,30.19,29.76,32.47,29.11,125212,384918404.0,11.13,-1.42,-0.43,40.63
116,2021-11-26,30.01,28.5,31.0,28.45,78607,232327835.0,8.57,-4.23,-1.26,25.51
117,2021-12-03,28.01,28.31,30.26,27.67,52546,152995820.0,9.09,-0.67,-0.19,17.05
118,2021-12-10,28.38,27.16,28.38,26.5,32097,87108226.0,6.64,-4.06,-1.15,10.42
119,2021-12-17,27.2,27.31,28.66,27.1,37573,104705681.0,5.74,0.55,0.15,12.19
