日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-12-31,50.1,41.46,52.8,39.55,258319,1151163704.0,30.99,-3.04,-1.3,149.46
2022-01-07,42.7,39.97,44.45,39.81,68449,290406864.0,11.19,-3.59,-1.49,39.6
2022-01-14,39.98,39.06,41.29,38.91,31085,124732968.0,5.95,-2.28,-0.91,17.99
2022-01-21,39.04,36.74,39.68,36.51,25057,96809457.0,8.12,-5.94,-2.32,14.5
2022-01-28,36.75,34.91,36.75,33.42,21117,73821353.0,9.06,-4.98,-1.83,12.22
2022-02-11,34.94,34.89,35.88,34.19,11112,39266029.0,4.84,-0.06,-0.02,6.43
2022-02-18,34.68,35.86,36.3,33.81,14394,50421962.0,7.14,2.78,0.97,8.33
2022-02-25,35.37,35.41,36.83,35.01,9063,32611802.0,5.08,-1.25,-0.45,5.24
2022-03-04,35.39,34.44,35.58,34.41,5962,20730076.0,3.3,-2.74,-0.97,3.45
2022-03-11,34.42,31.19,34.44,30.35,9068,29110572.0,11.88,-9.44,-3.25,5.25
2022-03-18,31.0,30.11,31.88,28.31,12739,38033756.0,11.45,-3.46,-1.08,7.37
2022-03-25,30.11,29.45,30.8,29.3,6551,19643589.0,4.98,-2.19,-0.66,3.79
2022-04-01,29.21,29.04,29.62,28.42,7094,20486995.0,4.07,-1.39,-0.41,4.1
2022-04-08,29.0,28.32,29.83,28.31,5288,15383667.0,5.23,-2.48,-0.72,3.06
2022-04-15,28.07,25.16,28.2,25.06,9332,24681588.0,11.09,-11.16,-3.16,5.4
2022-04-22,25.98,24.71,27.27,24.71,24141,62157743.0,10.17,-1.79,-0.45,13.97
2022-04-29,24.69,25.38,25.8,21.1,14862,35320038.0,19.02,2.71,0.67,8.6
2022-05-06,25.03,25.38,26.18,24.74,3788,9684516.0,5.67,0.0,0.0,2.19
2022-05-13,25.11,27.53,27.99,25.1,10586,28260392.0,11.39,8.47,2.15,6.13
2022-05-16,27.4,27.89,28.77,27.05,2916,8228085.0,6.25,1.31,0.36,1.69
