,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1993-10-08,12.0,11.6,12.15,11.6,30512,35900524.0,12.56,164.84,7.22,6.1
1,1993-10-11,11.5,11.2,11.55,11.1,13544,15260371.0,3.88,-3.45,-0.4,2.71
2,1993-10-12,11.05,11.2,11.3,11.0,12295,13664439.0,2.68,0.0,0.0,2.46
3,1993-10-13,11.2,10.8,11.25,10.8,10986,12022391.0,4.02,-3.57,-0.4,2.2
4,1993-10-14,10.7,10.8,10.8,10.5,10542,11144949.0,2.78,0.0,0.0,2.11
5,1993-10-15,10.8,10.9,11.0,10.7,7947,8631615.0,2.78,0.93,0.1,1.59
6,1993-10-18,10.9,10.45,10.9,10.45,9169,9656576.0,4.13,-4.13,-0.45,1.83
7,1993-10-19,10.4,10.5,10.9,10.25,8866,9308231.0,6.22,0.48,0.05,1.77
8,1993-10-20,10.4,10.35,10.5,10.3,4585,4755174.5,1.9,-1.43,-0.15,0.92
9,1993-10-21,10.35,10.25,10.4,10.25,5094,5250801.0,1.45,-0.97,-0.1,1.02
10,1993-10-22,10.2,10.2,10.2,10.0,8328,8432805.0,1.95,-0.49,-0.05,1.67
11,1993-10-25,10.1,9.9,10.1,9.85,8439,8414460.0,2.45,-2.94,-0.3,1.69
12,1993-10-26,9.9,10.1,10.1,9.7,6107,5996201.0,4.04,2.02,0.2,1.22
13,1993-10-27,10.25,10.05,10.3,9.8,10498,10597321.0,4.95,-0.5,-0.05,2.1
14,1993-10-28,10.0,10.45,10.5,9.9,8808,8982704.0,5.97,3.98,0.4,1.76
15,1993-10-29,10.6,10.05,10.6,10.05,11383,11798364.0,5.26,-3.83,-0.4,2.28
16,1993-11-01,10.0,9.9,10.05,9.9,4002,3991620.25,1.49,-1.49,-0.15,0.8
17,1993-11-02,9.9,10.05,10.2,9.9,2924,2935019.5,3.03,1.52,0.15,0.58
18,1993-11-03,10.1,9.9,10.15,9.9,3278,3284154.5,2.49,-1.49,-0.15,0.66
19,1993-11-04,9.95,9.8,9.95,9.75,2275,2230640.5,2.02,-1.01,-0.1,0.46
20,1993-11-05,9.75,9.9,9.9,9.7,2973,2910394.5,2.04,1.02,0.1,0.59
21,1993-11-08,9.9,10.2,10.5,9.85,8451,8518091.0,6.57,3.03,0.3,1.69
22,1993-11-09,10.1,9.85,10.1,9.85,5273,5253764.5,2.45,-3.43,-0.35,1.05
23,1993-11-10,9.8,10.35,10.5,9.8,19707,20241766.0,7.11,5.08,0.5,3.94
24,1993-11-11,10.5,10.8,10.9,10.4,25934,27548090.0,4.83,4.35,0.45,5.19
25,1993-11-12,10.95,11.45,11.5,10.95,56511,63907656.0,5.09,6.02,0.65,11.3
26,1993-11-15,11.6,11.6,12.0,11.6,46976,55306076.0,3.49,1.31,0.15,9.4
27,1993-11-16,11.45,11.15,11.45,11.0,25141,28319946.0,3.88,-3.88,-0.45,5.03
28,1993-11-17,11.15,11.3,11.5,11.15,17035,19280962.0,3.14,1.35,0.15,3.41
29,1993-11-18,11.4,11.3,11.85,11.25,29742,34361832.0,5.31,0.0,0.0,5.95
30,1993-11-19,11.45,11.6,11.6,11.3,26061,29853388.0,2.65,2.65,0.3,5.21
31,1993-11-22,11.75,12.0,12.55,11.75,53249,64625020.0,6.9,3.45,0.4,10.65
32,1993-11-23,12.1,11.4,12.2,11.4,19809,23193622.0,6.67,-5.0,-0.6,3.96
33,1993-11-24,11.25,11.05,11.5,10.8,16656,18537732.0,6.14,-3.07,-0.35,3.33
34,1993-11-25,11.1,11.25,11.35,10.9,11456,12805805.0,4.07,1.81,0.2,2.29
35,1993-11-26,11.2,11.0,11.25,10.9,8568,9473623.0,3.11,-2.22,-0.25,1.71
36,1993-11-29,10.85,10.75,10.9,10.65,5851,6276339.0,2.27,-2.27,-0.25,1.17
37,1993-11-30,10.8,10.6,10.9,10.6,5305,5697357.5,2.79,-1.4,-0.15,1.06
38,1993-12-01,10.6,10.3,10.7,10.3,4281,4473089.5,3.77,-2.83,-0.3,0.86
39,1993-12-02,10.3,10.25,10.5,10.1,4913,5035956.0,3.88,-0.49,-0.05,0.98
40,1993-12-03,10.15,10.2,10.35,10.1,4144,4249115.0,2.44,-0.49,-0.05,0.83
41,1993-12-06,10.2,10.35,10.35,10.15,5327,5444500.5,1.96,1.47,0.15,1.07
42,1993-12-07,10.45,10.2,10.6,10.2,4500,4654370.5,3.86,-1.45,-0.15,0.9
43,1993-12-08,10.2,10.2,10.3,10.1,3283,3336469.0,1.96,0.0,0.0,0.66
44,1993-12-09,10.2,10.2,10.35,10.1,2527,2581564.75,2.45,0.0,0.0,0.51
45,1993-12-10,10.2,10.7,10.7,10.15,9538,9989012.0,5.39,4.9,0.5,1.91
46,1993-12-13,10.85,10.35,11.15,10.0,24541,26379868.0,10.75,-3.27,-0.35,4.91
47,1993-12-14,10.5,10.45,10.85,10.4,5896,6204784.5,4.35,0.97,0.1,1.18
48,1993-12-15,10.45,10.5,10.5,10.25,3430,3560615.5,2.39,0.48,0.05,0.69
49,1993-12-16,10.6,10.35,10.75,10.3,4906,5139429.5,4.29,-1.43,-0.15,0.98
50,1993-12-17,10.25,10.2,10.35,10.2,3539,3637546.25,1.45,-1.45,-0.15,0.71
51,1993-12-20,10.2,9.6,10.2,9.2,8148,7956284.5,9.8,-5.88,-0.6,1.63
52,1993-12-21,9.6,9.65,9.65,9.0,4714,4470875.5,6.77,0.52,0.05,0.94
53,1993-12-22,9.7,9.25,9.7,9.25,2720,2565179.75,4.66,-4.15,-0.4,0.54
54,1993-12-23,9.05,9.0,9.3,8.95,3319,3020425.25,3.78,-2.7,-0.25,0.66
55,1993-12-24,8.85,9.3,9.3,8.85,4530,4117705.75,5.0,3.33,0.3,0.91
56,1993-12-27,9.4,9.1,9.4,9.0,3487,3200300.0,4.3,-2.15,-0.2,0.7
57,1993-12-28,9.0,9.05,9.15,9.0,1632,1479185.25,1.65,-0.55,-0.05,0.33
58,1993-12-29,9.0,8.95,9.1,8.9,1804,1621280.0,2.21,-1.1,-0.1,0.36
59,1993-12-30,8.95,8.95,9.2,8.85,3105,2799844.0,3.91,0.0,0.0,0.62
60,1993-12-31,9.0,8.8,9.1,8.8,2648,2365970.0,3.35,-1.68,-0.15,0.53
61,1994-01-03,8.8,8.5,8.8,8.45,1791,1539860.0,3.98,-3.41,-0.3,0.36
62,1994-01-04,8.5,8.3,8.65,8.3,1895,1592664.0,4.12,-2.35,-0.2,0.38
63,1994-01-05,8.3,8.4,8.5,8.2,2082,1727069.88,3.61,1.2,0.1,0.42
64,1994-01-06,8.5,8.95,9.0,8.4,5757,5032005.0,7.14,6.55,0.55,1.15
65,1994-01-07,9.1,9.0,9.15,8.7,5143,4587216.0,5.03,0.56,0.05,1.03
66,1994-01-10,9.1,9.05,9.2,8.9,5955,5410880.0,3.33,0.56,0.05,1.19
67,1994-01-11,9.1,8.75,9.1,8.75,2514,2237140.0,3.87,-3.31,-0.3,0.5
