代码,名称,日期,open,high,low,close,成交量,成交额(百万)
000001.SH,上证指数,1990-12-19,96.05,99.98,95.79,99.98,126000,0.4
000001.SH,上证指数,1990-12-20,104.3,104.39,99.98,104.39,0,1.97
000001.SH,上证指数,1990-12-21,109.07,109.13,103.73,109.13,0,0.28
000001.SH,上证指数,1990-12-24,113.57,114.55,109.13,114.55,0,0.32
000001.SH,上证指数,1990-12-25,120.09,120.25,114.55,120.25,0,0.15
000001.SH,上证指数,1990-12-26,125.27,125.27,120.25,125.27,0,1
000001.SH,上证指数,1990-12-27,125.27,125.28,125.27,125.28,6600,0.1
000001.SH,上证指数,1990-12-28,126.39,126.45,125.28,126.45,0,1.08
000001.SH,上证指数,1990-12-31,126.56,127.61,126.48,127.61,0,0.78
000001.SH,上证指数,1991-01-02,127.61,128.84,127.61,128.84,0,0.91
000001.SH,上证指数,1991-01-03,128.84,130.14,128.84,130.14,0,1.41
000001.SH,上证指数,1991-01-04,131.27,131.44,130.14,131.44,41000,0.2
000001.SH,上证指数,1991-01-07,131.99,132.06,131.45,132.06,20200,0.1
000001.SH,上证指数,1991-01-08,132.62,132.68,132.06,132.68,258900,1.8
000001.SH,上证指数,1991-01-09,133.3,133.34,132.68,133.34,559300,3.2
000001.SH,上证指数,1991-01-10,133.93,133.97,133.34,133.97,999000,5.3
000001.SH,上证指数,1991-01-11,134.61,134.61,134.51,134.6,1332700,7.1
000001.SH,上证指数,1991-01-14,134.11,135.19,134.11,134.67,1212500,6.8
000001.SH,上证指数,1991-01-15,134.21,134.74,134.19,134.74,132800,1
000001.SH,上证指数,1991-01-16,134.19,134.74,134.14,134.24,50900,0.2
000001.SH,上证指数,1991-01-17,133.67,134.25,133.65,134.25,49400,0.3
000001.SH,上证指数,1991-01-18,133.7,134.25,133.67,134.24,300400,1.5
000001.SH,上证指数,1991-01-21,133.7,134.24,133.66,134.24,205100,1
000001.SH,上证指数,1991-01-22,133.72,134.24,133.66,133.72,35000,0.1
000001.SH,上证指数,1991-01-23,133.17,133.72,133.14,133.17,109500,0.5
000001.SH,上证指数,1991-01-24,132.61,133.17,132.57,132.61,185700,0.9
000001.SH,上证指数,1991-01-25,132.05,132.07,132.03,132.05,344700,1.7
000001.SH,上证指数,1991-01-28,131.46,131.55,131.46,131.46,510700,2.5
000001.SH,上证指数,1991-01-29,130.95,130.97,130.95,130.95,138700,0.7
000001.SH,上证指数,1991-01-30,130.44,130.95,130.41,130.44,52700,0.2
000001.SH,上证指数,1991-01-31,129.93,130.46,129.93,129.97,50200,0.2
000001.SH,上证指数,1991-02-01,129.5,129.97,129.45,129.51,34300,0.1
000001.SH,上证指数,1991-02-04,129.05,129.58,129.05,129.05,55200,0.2
000001.SH,上证指数,1991-02-05,128.56,128.58,128.53,128.58,855800,4.2
000001.SH,上证指数,1991-02-06,129.13,129.15,128.06,129.14,664100,3.8
000001.SH,上证指数,1991-02-07,129.74,129.79,129.14,129.79,212800,1.5
000001.SH,上证指数,1991-02-08,130.36,130.39,129.79,130.38,123200,0.8
000001.SH,上证指数,1991-02-11,130.92,130.97,130.39,130.97,930400,4.8
000001.SH,上证指数,1991-02-12,131.54,131.56,130.97,131.35,376800,1.9
000001.SH,上证指数,1991-02-13,131.93,131.93,131.35,131.92,115100,0.6
000001.SH,上证指数,1991-02-14,132.53,132.53,132.3,132.53,361600,1.8
000001.SH,上证指数,1991-02-19,133.12,133.14,133.08,133.13,174200,1.2
000001.SH,上证指数,1991-02-20,133.63,133.67,133.13,133.67,87600,0.5
000001.SH,上证指数,1991-02-21,134.24,134.28,133.67,134.28,321900,1.7
000001.SH,上证指数,1991-02-22,134.85,134.87,134.28,134.87,342600,2
000001.SH,上证指数,1991-02-25,134.37,134.87,134.33,134.4,80800,0.6
000001.SH,上证指数,1991-02-26,133.9,134.44,133.9,133.93,109300,2.5
000001.SH,上证指数,1991-02-27,133.44,133.98,133.44,133.47,21300,0.1
000001.SH,上证指数,1991-02-28,132.99,133.52,132.98,133.01,225700,1.1
000001.SH,上证指数,1991-03-01,132.53,132.53,132.47,132.53,712400,3.7
000001.SH,上证指数,1991-03-04,132.09,132.09,131.98,131.99,251800,1.4
000001.SH,上证指数,1991-03-05,131.42,131.99,131.41,131.46,98200,0.9
000001.SH,上证指数,1991-03-06,130.89,130.95,130.89,130.94,71900,1.3
000001.SH,上证指数,1991-03-07,130.41,130.94,130.41,130.41,56800,0.4
